Ticker,Acurácia Dir %,MAPE %,Acertos,Erros,Dias Teste,Dias Treino,Classe
BRGE12.SA,89.02,,73,9,82,798,🟢 Excelente
MATD3.SA,58.23,122.79,145,104,249,798,🟢 Excelente
INTB3.SA,55.82,179.25,139,110,249,798,🟡 Bom
BRKM5.SA,55.82,130.38,139,110,249,798,🟡 Bom
DASA3.SA,55.82,160.91,139,110,249,798,🟡 Bom
BHIA3.SA,55.42,152.32,138,111,249,798,🟡 Bom
RDOR3.SA,55.42,223.3,138,111,249,798,🟡 Bom
GRND3.SA,55.42,132.23,138,111,249,798,🟡 Bom
CXSE3.SA,55.02,136.98,137,112,249,798,🟡 Bom
TIMS3.SA,55.02,182.66,137,112,249,798,🟡 Bom
ABEV3.SA,55.02,152.95,137,112,249,798,🟡 Bom
GGPS3.SA,55.02,125.41,137,112,249,798,🟡 Bom
VBBR3.SA,55.02,240.07,137,112,249,798,🟡 Bom
ENGI11.SA,54.62,156.13,136,113,249,798,🟡 Bom
WIZC3.SA,54.62,204.75,136,113,249,798,🟡 Bom
BSLI4.SA,54.62,239.76,136,113,249,791,🟡 Bom
COGN3.SA,54.62,146.81,136,113,249,798,🟡 Bom
ESPA3.SA,54.22,102.95,135,114,249,798,🟡 Bom
EGIE3.SA,54.22,147.88,135,114,249,798,🟡 Bom
ANIM3.SA,54.22,122.87,135,114,249,798,🟡 Bom
CSAN3.SA,54.22,149.25,135,114,249,798,🟡 Bom
UNIP6.SA,53.82,164.23,134,115,249,798,🟡 Bom
RECV3.SA,53.41,147.05,133,116,249,798,🟡 Bom
PSSA3.SA,53.41,255.19,133,116,249,798,🟡 Bom
SIMH3.SA,53.41,141.36,133,116,249,798,🟡 Bom
FRAS3.SA,53.41,259.12,133,116,249,798,🟡 Bom
VIVA3.SA,53.01,157.46,132,117,249,798,🟡 Bom
SAPR4.SA,53.01,134.96,132,117,249,798,🟡 Bom
BEES3.SA,53.01,123.05,132,117,249,798,🟡 Bom
BRSR6.SA,53.01,161.91,132,117,249,798,🟡 Bom
POSI3.SA,53.01,128.91,132,117,249,798,🟡 Bom
FLRY3.SA,53.01,172.68,132,117,249,798,🟡 Bom
HBOR3.SA,53.01,132.53,132,117,249,798,🟡 Bom
KLBN11.SA,52.61,190.52,131,118,249,798,🟡 Bom
CAML3.SA,52.61,210.34,131,118,249,798,🟡 Bom
ITSA4.SA,52.21,137.97,130,119,249,798,🟡 Bom
OIBR3.SA,52.21,111.04,130,119,249,798,🟡 Bom
VIVT3.SA,52.21,187.93,130,119,249,798,🟡 Bom
SAPR11.SA,52.21,242.75,130,119,249,798,🟡 Bom
MTRE3.SA,52.21,176.09,130,119,249,798,🟡 Bom
SBSP3.SA,52.21,186.49,130,119,249,798,🟡 Bom
BGIP4.SA,52.21,355.69,130,119,249,798,🟡 Bom
TTEN3.SA,52.21,140.93,130,119,249,765,🟡 Bom
B3SA3.SA,52.21,180.35,130,119,249,798,🟡 Bom
CASH3.SA,51.81,140.76,129,120,249,798,🔴 Fraco
BMIN4.SA,51.81,346.94,129,120,249,798,🔴 Fraco
RAIL3.SA,51.81,176.34,129,120,249,798,🔴 Fraco
PNVL3.SA,51.81,166.01,129,120,249,798,🔴 Fraco
BMGB4.SA,51.81,158.93,129,120,249,798,🔴 Fraco
AGRO3.SA,51.41,250.5,128,121,249,798,🔴 Fraco
LAND3.SA,51.41,141.7,128,121,249,749,🔴 Fraco
UGPA3.SA,51.41,173.14,128,121,249,798,🔴 Fraco
SMFT3.SA,51.41,141.96,128,121,249,768,🔴 Fraco
PETR4.SA,51.41,182.33,128,121,249,798,🔴 Fraco
BBSE3.SA,51.41,179.39,128,121,249,798,🔴 Fraco
MILS3.SA,51.41,278.39,128,121,249,798,🔴 Fraco
ASAI3.SA,51.41,152.56,128,121,249,798,🔴 Fraco
LJQQ3.SA,51.41,107.13,128,121,249,798,🔴 Fraco
LREN3.SA,51.41,167.56,128,121,249,798,🔴 Fraco
BPAC11.SA,51.0,319.91,127,122,249,798,🔴 Fraco
IRBR3.SA,51.0,508.17,127,122,249,798,🔴 Fraco
PETR3.SA,51.0,247.88,127,122,249,798,🔴 Fraco
AALR3.SA,51.0,140.05,127,122,249,798,🔴 Fraco
SLCE3.SA,51.0,173.37,127,122,249,798,🔴 Fraco
EUCA4.SA,51.0,163.02,127,122,249,798,🔴 Fraco
GMAT3.SA,51.0,146.87,127,122,249,798,🔴 Fraco
HYPE3.SA,50.6,158.57,126,123,249,798,🔴 Fraco
BLAU3.SA,50.6,183.18,126,123,249,798,🔴 Fraco
DIRR3.SA,50.6,251.91,126,123,249,798,🔴 Fraco
LAVV3.SA,50.6,245.87,126,123,249,798,🔴 Fraco
RAPT4.SA,50.6,232.76,126,123,249,798,🔴 Fraco
TUPY3.SA,50.6,204.9,126,123,249,798,🔴 Fraco
WEGE3.SA,50.6,187.25,126,123,249,798,🔴 Fraco
PGMN3.SA,50.6,277.68,126,123,249,798,🔴 Fraco
LWSA3.SA,50.6,142.18,126,123,249,798,🔴 Fraco
CSNA3.SA,50.6,151.08,126,123,249,798,🔴 Fraco
BBAS3.SA,50.6,202.65,126,123,249,798,🔴 Fraco
RADL3.SA,50.2,228.7,125,124,249,798,🔴 Fraco
GGBR4.SA,50.2,186.62,125,124,249,798,🔴 Fraco
LEVE3.SA,50.2,248.75,125,124,249,798,🔴 Fraco
MYPK3.SA,50.2,222.56,125,124,249,798,🔴 Fraco
LIGT3.SA,49.8,139.92,124,125,249,798,🔴 Fraco
COCE5.SA,49.8,170.97,124,125,249,798,🔴 Fraco
HBSA3.SA,49.8,126.11,124,125,249,798,🔴 Fraco
CPFE3.SA,49.8,196.22,124,125,249,798,🔴 Fraco
EMAE4.SA,49.8,220.43,124,125,249,798,🔴 Fraco
JSLG3.SA,49.8,193.66,124,125,249,798,🔴 Fraco
PINE4.SA,49.8,338.86,124,125,249,798,🔴 Fraco
GGBR3.SA,49.8,150.46,124,125,249,798,🔴 Fraco
ODPV3.SA,49.8,229.02,124,125,249,798,🔴 Fraco
RCSL4.SA,49.8,391.62,124,125,249,798,🔴 Fraco
ONCO3.SA,49.4,123.36,123,126,249,720,🔴 Fraco
BRAP4.SA,49.4,166.88,123,126,249,798,🔴 Fraco
SEER3.SA,49.4,211.88,123,126,249,798,🔴 Fraco
ALUP11.SA,49.4,217.36,123,126,249,798,🔴 Fraco
MBRF3.SA,49.4,301.95,123,126,249,798,🔴 Fraco
EVEN3.SA,49.4,228.73,123,126,249,798,🔴 Fraco
SBFG3.SA,49.4,164.24,123,126,249,798,🔴 Fraco
PLPL3.SA,49.4,208.04,123,126,249,798,🔴 Fraco
BEEF3.SA,49.4,169.41,123,126,249,798,🔴 Fraco
VAMO3.SA,49.4,119.55,123,126,249,798,🔴 Fraco
GOAU4.SA,49.4,176.5,123,126,249,798,🔴 Fraco
TEND3.SA,49.0,162.56,122,127,249,798,🔴 Fraco
PRIO3.SA,49.0,316.29,122,127,249,798,🔴 Fraco
MRVE3.SA,49.0,274.33,122,127,249,798,🔴 Fraco
CURY3.SA,49.0,163.75,122,127,249,798,🔴 Fraco
CPLE3.SA,49.0,128.36,122,127,249,798,🔴 Fraco
AZZA3.SA,49.0,177.91,122,127,249,798,🔴 Fraco
AURE3.SA,48.59,146.23,121,128,249,593,🔴 Fraco
RENT3.SA,48.59,215.63,121,128,249,798,🔴 Fraco
SMTO3.SA,48.59,174.12,121,128,249,798,🔴 Fraco
BAZA3.SA,48.59,481.11,121,128,249,798,🔴 Fraco
USIM3.SA,48.19,144.92,120,129,249,798,🔴 Fraco
AXIA3.SA,48.19,470.13,120,129,249,798,🔴 Fraco
ECOR3.SA,48.19,150.34,120,129,249,798,🔴 Fraco
CMIN3.SA,48.19,149.48,120,129,249,798,🔴 Fraco
VALE3.SA,48.19,193.1,120,129,249,798,🔴 Fraco
BRAV3.SA,48.19,170.93,120,129,249,798,🔴 Fraco
YDUQ3.SA,47.79,209.55,119,130,249,798,🔴 Fraco
CEAB3.SA,47.79,175.96,119,130,249,798,🔴 Fraco
USIM5.SA,47.79,150.57,119,130,249,798,🔴 Fraco
VULC3.SA,47.79,211.88,119,130,249,798,🔴 Fraco
OIBR4.SA,47.79,1006.37,119,130,249,798,🔴 Fraco
BBDC4.SA,47.79,310.33,119,130,249,798,🔴 Fraco
SUZB3.SA,47.79,289.44,119,130,249,798,🔴 Fraco
SAUD3.SA,47.39,255.88,118,131,249,798,🔴 Fraco
TAEE11.SA,47.39,238.07,118,131,249,798,🔴 Fraco
QUAL3.SA,47.39,148.21,118,131,249,798,🔴 Fraco
HAPV3.SA,47.39,348.08,118,131,249,798,🔴 Fraco
CMIG3.SA,47.39,186.41,118,131,249,798,🔴 Fraco
TRIS3.SA,47.39,178.74,118,131,249,798,🔴 Fraco
KEPL3.SA,46.99,190.04,117,132,249,798,🔴 Fraco
ITUB4.SA,46.99,146.0,117,132,249,798,🔴 Fraco
POMO4.SA,46.99,272.62,117,132,249,798,🔴 Fraco
DXCO3.SA,46.99,194.58,117,132,249,798,🔴 Fraco
CMIG4.SA,46.99,140.7,117,132,249,798,🔴 Fraco
TOTS3.SA,46.59,187.69,116,133,249,798,🔴 Fraco
MGLU3.SA,46.59,273.12,116,133,249,798,🔴 Fraco
CYRE3.SA,46.18,240.9,115,134,249,798,🔴 Fraco
ITUB3.SA,46.18,156.11,115,134,249,798,🔴 Fraco
IGTI11.SA,46.18,166.53,115,134,249,679,🔴 Fraco
ALOS3.SA,46.18,150.22,115,134,249,798,🔴 Fraco
TASA4.SA,45.78,214.3,114,135,249,798,🔴 Fraco
CBAV3.SA,45.78,550.28,114,135,249,766,🔴 Fraco
EQTL3.SA,45.78,159.18,114,135,249,798,🔴 Fraco
ENEV3.SA,45.38,217.24,113,136,249,798,🔴 Fraco
MULT3.SA,45.38,221.31,113,136,249,798,🔴 Fraco
BBDC3.SA,45.38,252.39,113,136,249,798,🔴 Fraco
ALPA4.SA,44.98,282.65,112,137,249,798,🔴 Fraco
ISAE4.SA,44.98,194.35,112,137,249,798,🔴 Fraco
NEOE3.SA,44.98,309.56,112,137,249,798,🔴 Fraco
KLBN4.SA,44.58,142.27,111,138,249,798,🔴 Fraco
MDIA3.SA,44.58,220.14,111,138,249,798,🔴 Fraco
ROMI3.SA,44.18,159.41,110,139,249,798,🔴 Fraco
EZTC3.SA,44.18,241.74,110,139,249,798,🔴 Fraco
PCAR3.SA,44.18,176.19,110,139,249,798,🔴 Fraco
