Ticker,Coef. MIDAS,Acurácia IA %,Retorno 1 Ano %,Sharpe Ratio,Meses Positivos %,Tendência 30d %,Preço Inicial,Preço Final,R$10k → Hoje,Lucro/Perda R$,Rentabilidade %,Recomendação
PINE4.SA,94.2,49.8,207.69,2.918,91.7,2.63,5.0213,15.45,30769.06,20769.06,207.69,🌟 FORTE COMPRA
CSMG3.SA,79.4,43.37,135.09,3.192,75.0,-8.19,22.5187,52.94,23509.39,13509.39,135.09,🌟 FORTE COMPRA
CBAV3.SA,77.4,45.78,129.25,2.03,75.0,1.65,4.6804,10.73,22925.46,12925.46,129.25,🌟 FORTE COMPRA
USIM5.SA,74.6,47.79,104.81,1.891,58.3,52.58,5.2,10.65,20480.77,10480.77,104.81,🌟 FORTE COMPRA
JHSF3.SA,73.1,43.37,119.09,2.361,66.7,-16.12,4.9754,10.9008,21909.3,11909.3,119.09,🌟 FORTE COMPRA
USIM3.SA,72.1,48.19,92.16,1.679,58.3,43.91,5.1,9.8,19215.69,9215.69,92.16,🌟 FORTE COMPRA
GOAU4.SA,71.7,49.4,69.6,2.131,83.3,8.32,6.026,10.22,16959.94,6959.94,69.6,✅ COMPRA
DASA3.SA,71.7,55.82,106.92,1.304,41.7,1.23,1.59,3.29,20691.82,10691.82,106.92,✅ COMPRA
VALE3.SA,71.6,48.19,75.54,2.449,83.3,-5.07,47.8298,83.96,17553.9,7553.9,75.54,✅ COMPRA
VBBR3.SA,70.7,55.02,71.04,2.1,75.0,-9.62,18.0715,30.91,17104.3,7104.3,71.04,✅ COMPRA
MILS3.SA,70.7,51.41,63.19,1.861,75.0,16.3,9.3207,15.21,16318.54,6318.54,63.19,✅ COMPRA
BRAP4.SA,70.3,49.4,68.28,2.369,83.3,-7.71,13.8753,23.35,16828.43,6828.43,68.28,✅ COMPRA
UGPA3.SA,68.7,51.41,76.08,2.015,66.7,-12.32,15.2831,26.91,17607.63,7607.63,76.08,✅ COMPRA
ENEV3.SA,68.2,45.38,78.95,1.957,75.0,-8.32,13.97,25.0,17895.49,7895.49,78.95,✅ COMPRA
GGBR4.SA,68.2,50.2,59.61,1.936,66.7,8.63,14.7233,23.5,15961.06,5961.06,59.61,✅ COMPRA
EUCA4.SA,66.9,51.0,55.57,1.455,58.3,30.33,17.6775,27.5,15556.51,5556.51,55.57,✅ COMPRA
PETR3.SA,66.7,51.0,58.12,1.777,75.0,-6.55,30.065,47.54,15812.41,5812.41,58.12,✅ COMPRA
PRIO3.SA,66.1,49.0,61.67,1.66,66.7,-0.35,38.95,62.97,16166.88,6166.88,61.67,✅ COMPRA
GGBR3.SA,65.7,49.8,44.58,1.563,75.0,11.08,13.9642,20.19,14458.43,4458.43,44.58,✅ COMPRA
PETR4.SA,65.7,51.41,51.55,1.808,75.0,-8.1,28.0494,42.51,15155.41,5155.41,51.55,✅ COMPRA
NEOE3.SA,64.9,44.98,39.93,1.918,91.7,0.72,24.1545,33.8,13993.27,3993.27,39.93,✅ COMPRA
BMGB4.SA,64.3,51.81,55.42,1.648,58.3,-7.57,3.2815,5.1,15541.73,5541.73,55.42,✅ COMPRA
