Ticker,Motivo
RRRP3.SA,Dados insuficientes (<300 dias)
DMMO3.SA,Dados insuficientes (<300 dias)
ELET3.SA,Dados insuficientes (<300 dias)
ELET6.SA,Dados insuficientes (<300 dias)
AESB3.SA,Dados insuficientes (<300 dias)
ENBR3.SA,Dados insuficientes (<300 dias)
TRPL4.SA,Dados insuficientes (<300 dias)
CPLE6.SA,Dados insuficientes (<300 dias)
CESP6.SA,Dados insuficientes (<300 dias)
PASS3.SA,Dados insuficientes (<300 dias)
BPAN4.SA,Dados insuficientes (<300 dias)
MERC4.SA,Dados insuficientes (<300 dias)
CIEL3.SA,Dados insuficientes (<300 dias)
SULA11.SA,Dados insuficientes (<300 dias)
NUBR33.SA,Dados insuficientes (<300 dias)
MOTV3.SA,Dados insuficientes (<300 dias)
CROS3.SA,Dados insuficientes (<300 dias)
PARD3.SA,Dados insuficientes (<300 dias)
SOMA3.SA,Dados insuficientes (<300 dias)
GUAR3.SA,Dados insuficientes (<300 dias)
NTCO3.SA,Dados insuficientes (<300 dias)
LAME4.SA,Dados insuficientes (<300 dias)
AUAU3.SA,Dados insuficientes (<300 dias)
BRFS3.SA,Dados insuficientes (<300 dias)
MRFG3.SA,Dados insuficientes (<300 dias)
JBSS3.SA,Dados insuficientes (<300 dias)
CRFB3.SA,Dados insuficientes (<300 dias)
RANI4.SA,Dados insuficientes (<300 dias)
MOAR3.SA,Dados insuficientes (<300 dias)
LOG3.SA,Dados insuficientes (<300 dias)
LVTC3.SA,Dados insuficientes (<300 dias)
LCAM3.SA,Dados insuficientes (<300 dias)
CCRO3.SA,Dados insuficientes (<300 dias)
AZUL4.SA,Dados insuficientes (<300 dias)
GOLL4.SA,Dados insuficientes (<300 dias)
STBP3.SA,Dados insuficientes (<300 dias)
RLOG3.SA,Dados insuficientes (<300 dias)
NATU3.SA,Dados insuficientes (<300 dias)
