Ticker,Acurácia Dir %,MAPE %,Acertos,Erros,Dias Teste,Dias Treino,Classe
MMM,57.2,188.42,143,107,250,805,🟡 Bom
T,56.8,234.14,142,108,250,805,🟡 Bom
NVDA,56.4,181.58,141,109,250,805,🟡 Bom
SBUX,55.6,161.04,139,111,250,805,🟡 Bom
KO,55.2,254.73,138,112,250,805,🟡 Bom
AEP,54.8,263.67,137,113,250,805,🟡 Bom
EXC,54.4,144.07,136,114,250,805,🟡 Bom
AAPL,54.0,203.26,135,115,250,805,🟡 Bom
NIO,54.0,193.66,135,115,250,805,🟡 Bom
SLB,54.0,173.63,135,115,250,805,🟡 Bom
WFC,54.0,199.37,135,115,250,805,🟡 Bom
MRK,53.6,400.51,134,116,250,805,🟡 Bom
NKE,53.2,341.42,133,117,250,805,🟡 Bom
CAT,53.2,420.02,133,117,250,805,🟡 Bom
GE,53.2,279.55,133,117,250,805,🟡 Bom
TGT,52.8,219.84,132,118,250,805,🟡 Bom
BKR,52.8,165.37,132,118,250,805,🟡 Bom
MPC,52.8,487.04,132,118,250,805,🟡 Bom
GILD,52.8,151.32,132,118,250,805,🟡 Bom
MCD,52.4,176.13,131,119,250,805,🟡 Bom
DIS,52.4,154.72,131,119,250,805,🟡 Bom
PEP,52.4,226.05,131,119,250,805,🟡 Bom
BAC,52.4,204.86,131,119,250,805,🟡 Bom
META,52.4,300.86,131,119,250,805,🟡 Bom
TSLA,52.4,266.81,131,119,250,805,🟡 Bom
SO,52.0,332.74,130,120,250,805,🟡 Bom
GS,52.0,201.72,130,120,250,805,🟡 Bom
V,52.0,270.16,130,120,250,805,🟡 Bom
WEGE3.SA,51.81,168.97,129,120,249,798,🔴 Fraco
BABA,51.6,208.83,129,121,250,805,🔴 Fraco
SONY,51.6,158.13,129,121,250,805,🔴 Fraco
ABEV3.SA,51.41,157.9,128,121,249,798,🔴 Fraco
TMUS,51.2,423.83,128,122,250,805,🔴 Fraco
AMGN,51.2,280.63,128,122,250,805,🔴 Fraco
XOM,51.2,254.64,128,122,250,805,🔴 Fraco
BRK-B,51.2,243.45,128,122,250,805,🔴 Fraco
AMZN,50.8,213.96,127,123,250,805,🔴 Fraco
JPM,50.8,186.98,127,123,250,805,🔴 Fraco
UNH,50.8,457.6,127,123,250,805,🔴 Fraco
GOOGL,50.4,498.0,126,124,250,805,🔴 Fraco
COP,50.4,179.68,126,124,250,805,🔴 Fraco
AMD,50.4,486.88,126,124,250,805,🔴 Fraco
ASML,50.4,171.82,126,124,250,805,🔴 Fraco
PLD,50.0,287.29,125,125,250,805,🔴 Fraco
LUMN,50.0,150.07,125,125,250,805,🔴 Fraco
DE,49.6,371.1,124,126,250,805,🔴 Fraco
NFLX,49.6,592.67,124,126,250,805,🔴 Fraco
MS,49.6,237.95,124,126,250,805,🔴 Fraco
AMT,49.6,276.95,124,126,250,805,🔴 Fraco
HD,49.6,248.38,124,126,250,805,🔴 Fraco
SPG,49.6,166.5,124,126,250,805,🔴 Fraco
WMT,49.6,197.09,124,126,250,805,🔴 Fraco
LMT,49.6,296.15,124,126,250,805,🔴 Fraco
HON,49.6,435.97,124,126,250,805,🔴 Fraco
PETR4.SA,49.4,179.32,123,126,249,798,🔴 Fraco
TSM,49.2,271.71,123,127,250,805,🔴 Fraco
