Ticker,Acurácia Dir %,MAPE %,Acertos,Erros,Dias Teste,Dias Treino,Classe
MIDD,60.4,220.34,151,99,250,805,🟢 Excelente
ABNB,59.6,217.29,149,101,250,805,🟢 Excelente
MSC,58.8,125.2,147,103,250,805,🟢 Excelente
GN.CO,58.78,241.94,144,101,245,808,🟢 Excelente
MAIN,58.0,222.98,145,105,250,805,🟢 Excelente
PPL,58.0,130.87,145,105,250,805,🟢 Excelente
INTB3.SA,57.83,164.78,144,105,249,798,🟡 Bom
NRG,57.6,341.42,144,106,250,805,🟡 Bom
BABA,57.6,202.8,144,106,250,805,🟡 Bom
WM,57.6,180.56,144,106,250,805,🟡 Bom
NVDA,57.6,197.71,144,106,250,805,🟡 Bom
FE,57.2,178.13,143,107,250,805,🟡 Bom
SKT,57.2,227.03,143,107,250,805,🟡 Bom
IRM,56.8,232.39,142,108,250,805,🟡 Bom
DLTR,56.8,603.46,142,108,250,805,🟡 Bom
WIZC3.SA,56.63,210.05,141,108,249,798,🟡 Bom
RJF,56.4,216.1,141,109,250,805,🟡 Bom
T,56.4,217.5,141,109,250,805,🟡 Bom
FRT,56.4,236.79,141,109,250,805,🟡 Bom
ZBH,56.4,186.32,141,109,250,805,🟡 Bom
ALL,56.4,359.6,141,109,250,805,🟡 Bom
SBRA,56.4,157.98,141,109,250,805,🟡 Bom
SBUX,56.4,147.32,141,109,250,805,🟡 Bom
AFRM,56.4,589.01,141,109,250,805,🟡 Bom
RECV3.SA,56.22,140.03,140,109,249,798,🟡 Bom
EW,56.0,190.41,140,110,250,805,🟡 Bom
PRU,56.0,219.99,140,110,250,805,🟡 Bom
RARE,56.0,207.7,140,110,250,805,🟡 Bom
DLO,56.0,148.36,140,110,250,803,🟡 Bom
CS.PA,55.91,198.47,142,112,254,827,🟡 Bom
DASA3.SA,55.82,160.91,139,110,249,798,🟡 Bom
XPO,55.6,195.55,139,111,250,805,🟡 Bom
TRGP,55.6,242.95,139,111,250,805,🟡 Bom
BILI,55.6,194.77,139,111,250,805,🟡 Bom
SAN.PA,55.51,202.3,141,113,254,827,🟡 Bom
WEGE3.SA,55.42,185.23,138,111,249,798,🟡 Bom
CVCB3.SA,55.42,116.55,138,111,249,798,🟡 Bom
CPRI,55.2,167.94,138,112,250,805,🟡 Bom
STX,55.2,312.53,138,112,250,805,🟡 Bom
VEEV,55.2,255.3,138,112,250,805,🟡 Bom
ORSTED.CO,55.1,251.85,135,110,245,808,🟡 Bom
GTLB,54.8,340.93,137,113,250,710,🟡 Bom
AFL,54.8,245.04,137,113,250,805,🟡 Bom
LYV,54.8,153.04,137,113,250,805,🟡 Bom
LPLA,54.8,197.66,137,113,250,805,🟡 Bom
AAPL,54.8,230.69,137,113,250,805,🟡 Bom
TD,54.8,175.53,137,113,250,805,🟡 Bom
COGN3.SA,54.62,146.81,136,113,249,798,🟡 Bom
BEN,54.4,176.84,136,114,250,805,🟡 Bom
TMO,54.4,238.56,136,114,250,805,🟡 Bom
EXPD,54.4,240.73,136,114,250,805,🟡 Bom
MMM,54.4,195.34,136,114,250,805,🟡 Bom
LVS,54.4,337.02,136,114,250,805,🟡 Bom
WH,54.4,159.41,136,114,250,805,🟡 Bom
